antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_list,consequents_list,antecedent_names,consequent_names,consequent_description
22578,22577,0.025279419509626075,0.02709345192814091,0.018666978758265552,0.7384259259259259,27.25477461803056,1.0,0.017982072021010192,3.719430343071178,0.9882926454710504,0.5538194444444445,0.7311416244525532,0.7137054035677146,['22578'],['22577'],['WOODEN STAR CHRISTMAS SCANDINAVIAN'],['WOODEN HEART CHRISTMAS SCANDINAVIAN'],WOODEN HEART CHRISTMAS SCANDINAVIAN
22577,22578,0.02709345192814091,0.025279419509626075,0.018666978758265552,0.6889848812095033,27.25477461803056,1.0,0.017982072021010192,3.1339974219933557,0.9901353660297899,0.5538194444444445,0.6809186909400974,0.7137054035677146,['22577'],['22578'],['WOODEN HEART CHRISTMAS SCANDINAVIAN'],['WOODEN STAR CHRISTMAS SCANDINAVIAN'],WOODEN STAR CHRISTMAS SCANDINAVIAN
"22697, 22423",22698,0.02188542337175961,0.03224296330973141,0.0158581543683071,0.7245989304812835,22.473087337558358,1.0,0.015152503465513516,3.513991570118064,0.976881802919136,0.4143730886850153,0.7154233355299706,0.608215980667139,"['22697', '22423']",['22698'],"['GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER']",['PINK REGENCY TEACUP AND SAUCER'],PINK REGENCY TEACUP AND SAUCER
22698,"22697, 22423",0.03224296330973141,0.02188542337175961,0.0158581543683071,0.49183303085299457,22.473087337558354,1.0,0.015152503465513516,1.9247897561505731,0.9873370018015091,0.4143730886850153,0.4804627379148564,0.608215980667139,['22698'],"['22697', '22423']",['PINK REGENCY TEACUP AND SAUCER'],"['GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER']","GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER"
"22699, 22697",22698,0.0316577915618234,0.03224296330973141,0.022821698168412428,0.720887245841035,22.357971223552536,1.0,0.02180095715661743,3.467261965890299,0.9865037528743112,0.5555555555555555,0.711587987917369,0.7143456192907534,"['22699', '22697']",['22698'],"['ROSES REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER']",['PINK REGENCY TEACUP AND SAUCER'],PINK REGENCY TEACUP AND SAUCER
22698,"22699, 22697",0.03224296330973141,0.0316577915618234,0.022821698168412428,0.7078039927404718,22.357971223552536,1.0,0.02180095715661743,3.3140158810523923,0.9871002601622991,0.5555555555555555,0.6982512951378972,0.7143456192907534,['22698'],"['22699', '22697']",['PINK REGENCY TEACUP AND SAUCER'],"['ROSES REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER']","ROSES REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER"
"22699, 22698",22697,0.02551348820878928,0.04043536778044356,0.022821698168412428,0.8944954128440367,22.121609421261567,1.0,0.021790050889328023,9.095003905385358,0.9797932766406916,0.5291723202170963,0.8900495249476609,0.7294474169864178,"['22699', '22698']",['22697'],"['ROSES REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER']",['GREEN REGENCY TEACUP AND SAUCER'],GREEN REGENCY TEACUP AND SAUCER
22697,"22699, 22698",0.04043536778044356,0.02551348820878928,0.022821698168412428,0.5643994211287988,22.121609421261567,1.0,0.021790050889328023,2.237110231387796,0.9950297253261029,0.5291723202170963,0.5529947581618954,0.7294474169864178,['22697'],"['22699', '22698']",['GREEN REGENCY TEACUP AND SAUCER'],"['ROSES REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER']","ROSES REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER"
"22698, 22423",22697,0.01808180701035754,0.04043536778044356,0.0158581543683071,0.877022653721683,21.68949367503595,1.0,0.01512700985170829,7.802775561995875,0.9714604893367169,0.37174211248285327,0.8718404762440444,0.6346039462530267,"['22698', '22423']",['22697'],"['PINK REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER']",['GREEN REGENCY TEACUP AND SAUCER'],GREEN REGENCY TEACUP AND SAUCER
22697,"22698, 22423",0.04043536778044356,0.01808180701035754,0.0158581543683071,0.39218523878437056,21.68949367503595,1.0,0.01512700985170829,1.6154892175139117,0.994091170329925,0.37174211248285327,0.38099246398010184,0.6346039462530267,['22697'],"['22698', '22423']",['GREEN REGENCY TEACUP AND SAUCER'],"['PINK REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER']","PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER"
